source target sign
ARNT TEK -
ARNT HK3 -
ARNT PGK1 +
ARNT PFKFB4 +
ARNT LDHA +
CREB3L1 PDYN -
CREB3L1 NPY +
CREB3L1 CRH -
CREB3L1 FOS +
CREB3L1 AQP2 -
CREB3L1 MITF -
CREB3L1 MCL1 -
CREB3L1 BCL2 +
CREB3L1 BDNF +
CREB3L1 ARC +
CREB3L1 FOSB -
CREB3L1 PCNA +
JUP PPARD +
JUP CCND1 -
JUP MYC -
NFATC2 TNF -
AR TGM2 -
AR UCP3 -
AR PDK4 +
AR SLC27A1 -
AR SRD5A2 +
AR POU3F3 -
AR DHRS4 -
AR LPL +
AR APOA2 -
AR FABP1 -
AR AIP +
AR SCD1 +
AR CRISP1 -
AR PSMC5 -
AR POU2F1 -
AR NR2C1 -
AR TGM1 -
AR FLII +
AR MECR +
AR CRYAB +
AR H1F0 -
AR NCOA2 +
AR ABCC2 +
AR RBP2 -
AR AVP +
AR AURKAIP1 +
AR APOB -
AR SLC22A1 -
AR NOX1 -
AR C4B -
AR NOS2 +
AR NFKBIA +
AR MTTP -
AR ETV4 -
AR POU5F1 -
AR CITED2 -
AR AKR1B7 +
AR CAR5A -
AR BCL2 -
AR NKX2-1 -
AR TRH -
AR TGFBR3 -
AR MDK +
AR HOXA5 +
AR RARA +
AR MMP3 +
AR CEBPB -
AR SLC18A3 +
AR LAMB1 +
AR COL1A2 -
AR HSD11B1 +
AR ACOX1 +
AR ACSL1 -
AR PBSN -
AR ALDH1A1 -
AR SH2D3C +
AR RQCD1 +
AR NSD1 +
AR CYP24A1 -
AR ANGPTL4 +
AR PTHLH +
AR UCP1 +
AR GRIP1 -
AR HSP90AB1 +
AR FLI1 +
AR C4A +
AR PLTP +
AR CRISP3 -
AR CYP7A1 -
AR PCP2 +
